"Pathway","Exposure","Mediator","Outcome","individual_IE","PIP_individual_IE","IED","PIP_IED","IEC","PIP_IEC"
"Apoptosis","CNA_BIRC2","Protein_BID","Drug_erlotinib","1.598e-05","0.0138","3.124e-05","0.0028","-1.526e-05","0.0118"
"Apoptosis","CNA_BIRC2","Protein_BCL2L11","Drug_erlotinib","-3.42e-06","0.0034","-3.68e-06","0.0013","2.7e-07","0.0021"
"Apoptosis","CNA_BIRC2","Protein_CASP7","Drug_erlotinib","2.703e-05","0.0062","2.515e-05","0.0044","1.89e-06","0.0019"
"Apoptosis","CNA_BIRC2","Protein_BIRC2","Drug_erlotinib","2.19e-06","0.0024","1.37e-06","9e-04","8.2e-07","0.0015"
"Apoptosis","CNA_BCL2","mRNA_BAD","Drug_erlotinib","-2.546e-05","0.0054","-2.382e-05","0.0025","-1.64e-06","0.0031"
"Apoptosis","CNA_BCL2","mRNA_BID","Drug_erlotinib","1.88e-06","0.0025","4.38e-06","0.0017","-2.5e-06","8e-04"
"Apoptosis","CNA_BCL2","mRNA_BAK1","Drug_erlotinib","8.63e-06","0.0032","1.04e-06","0.001","7.59e-06","0.0023"
"Apoptosis","CNA_BCL2","mRNA_BAX","Drug_erlotinib","-2.089e-05","0.0026","-2.119e-05","0.0015","3e-07","0.0012"
"Apoptosis","CNA_BCL2","mRNA_BIRC2","Drug_erlotinib","-3.74e-06","0.0017","-3.02e-06","0.0012","-7.2e-07","5e-04"
"Apoptosis","CNA_BCL2","mRNA_BCL2L11","Drug_erlotinib","-0.00021811","0.0319","-8.356e-05","0.0034","-0.00013455","0.0311"
"Apoptosis","CNA_BCL2","mRNA_CASP7","Drug_erlotinib","-2.361e-05","0.0082","-1.807e-05","0.0027","-5.54e-06","0.0058"
"Apoptosis","CNA_BCL2","mRNA_BCL2L1","Drug_erlotinib","-1.086e-05","0.0028","-1.044e-05","0.0018","-4.2e-07","0.0011"
"Apoptosis","CNA_BCL2","mRNA_BCL2","Drug_erlotinib","0.0010761","0.0516","0.00107027","0.0505","5.83e-06","0.0047"
"Apoptosis","CNA_BCL2","Protein_BAD","Drug_erlotinib","-5.65e-05","0.0077","-4.03e-05","0.0024","-1.62e-05","0.0057"
"Apoptosis","CNA_BCL2","Protein_BAK1","Drug_erlotinib","-3.246e-05","0.004","-3.097e-05","0.0025","-1.49e-06","0.0019"
"Apoptosis","CNA_BCL2","Protein_BAX","Drug_erlotinib","1.897e-05","0.0044","7.82e-06","0.0026","1.115e-05","0.0018"
"Apoptosis","CNA_BCL2","Protein_BCL2","Drug_erlotinib","-3.11e-06","0.0047","1.84e-06","0.002","-4.95e-06","0.003"
"Apoptosis","CNA_BCL2","Protein_BCL2L1","Drug_erlotinib","9.29e-06","0.0047","3.25e-06","0.0012","6.04e-06","0.004"
"Apoptosis","CNA_BCL2","Protein_BID","Drug_erlotinib","1.532e-05","0.0228","5.414e-05","0.0057","-3.882e-05","0.0181"
"Apoptosis","CNA_BCL2","Protein_BCL2L11","Drug_erlotinib","1.477e-05","0.0052","1.29e-05","0.0025","1.87e-06","0.0028"
"Apoptosis","CNA_BCL2","Protein_CASP7","Drug_erlotinib","-1.83e-05","0.006","-1.182e-05","0.004","-6.48e-06","0.002"
"Apoptosis","CNA_BCL2","Protein_BIRC2","Drug_erlotinib","-9.76e-06","0.002","-8.25e-06","0.0014","-1.52e-06","7e-04"
"Apoptosis","CNA_BAX","mRNA_BAD","Drug_erlotinib","-7.998e-05","0.0175","-7.8e-06","0.0032","-7.218e-05","0.0155"
"Apoptosis","CNA_BAX","mRNA_BID","Drug_erlotinib","-5.643e-05","0.014","-7.321e-05","0.0074","1.678e-05","0.0072"
"Apoptosis","CNA_BAX","mRNA_BAK1","Drug_erlotinib","-8.7e-06","0.0052","-1.545e-05","0.0021","6.74e-06","0.0035"
"Apoptosis","CNA_BAX","mRNA_BAX","Drug_erlotinib","-0.00018893","0.0246","-0.00018934","0.0242","4.1e-07","0.001"
"Apoptosis","CNA_BAX","mRNA_BIRC2","Drug_erlotinib","5.92e-06","0.0027","7.11e-06","0.0014","-1.19e-06","0.0013"
"Apoptosis","CNA_BAX","mRNA_BCL2L11","Drug_erlotinib","-1.122e-05","0.0024","-1.024e-05","0.0012","-9.8e-07","0.0012"
"Apoptosis","CNA_BAX","mRNA_CASP7","Drug_erlotinib","9.96e-05","0.0273","0.00013501","0.0141","-3.541e-05","0.0148"
"Apoptosis","CNA_BAX","mRNA_BCL2L1","Drug_erlotinib","0.00013514","0.0162","4.131e-05","0.0019","9.383e-05","0.0148"
"Apoptosis","CNA_BAX","mRNA_BCL2","Drug_erlotinib","-5.63e-06","0.0045","-3.88e-06","0.0011","-1.75e-06","0.0035"
"Apoptosis","CNA_BAX","Protein_BAD","Drug_erlotinib","-0.00015402","0.0485","9.5e-06","0.0039","-0.00016352","0.0477"
"Apoptosis","CNA_BAX","Protein_BAK1","Drug_erlotinib","1.34e-06","0.0039","-2.02e-06","0.002","3.36e-06","0.0019"
"Apoptosis","CNA_BAX","Protein_BAX","Drug_erlotinib","0.00041287","0.0339","0.00038743","0.0326","2.543e-05","0.0029"
"Apoptosis","CNA_BAX","Protein_BCL2","Drug_erlotinib","5.28e-06","0.004","1.36e-06","0.0014","3.92e-06","0.0028"
"Apoptosis","CNA_BAX","Protein_BCL2L1","Drug_erlotinib","3.72e-06","0.0051","6.7e-06","0.0025","-2.98e-06","0.0028"
"Apoptosis","CNA_BAX","Protein_BID","Drug_erlotinib","-5.522e-05","0.02","-2.341e-05","0.0055","-3.181e-05","0.0151"
"Apoptosis","CNA_BAX","Protein_BCL2L11","Drug_erlotinib","1.7e-07","0.0036","-1.8e-07","0.0016","3.4e-07","0.002"
"Apoptosis","CNA_BAX","Protein_CASP7","Drug_erlotinib","1.133e-05","0.0054","6.98e-06","0.0014","4.35e-06","0.004"
"Apoptosis","CNA_BAX","Protein_BIRC2","Drug_erlotinib","-9.11e-06","0.0029","-6.66e-06","0.0011","-2.45e-06","0.0019"
"Apoptosis","CNA_BCL2L11","mRNA_BAD","Drug_erlotinib","-4e-06","0.0123","-1.177e-05","0.0017","7.76e-06","0.011"
"Apoptosis","CNA_BCL2L11","mRNA_BID","Drug_erlotinib","-8.03e-06","9e-04","-8.01e-06","3e-04","-1e-08","6e-04"
"Apoptosis","CNA_BCL2L11","mRNA_BAK1","Drug_erlotinib","2.96e-06","0.0046","6.25e-06","0.0033","-3.28e-06","0.0015"
"Apoptosis","CNA_BCL2L11","mRNA_BAX","Drug_erlotinib","-8.28e-06","0.0015","-5.14e-06","9e-04","-3.14e-06","6e-04"
"Apoptosis","CNA_BCL2L11","mRNA_BIRC2","Drug_erlotinib","-5.7e-07","9e-04","-3e-08","5e-04","-5.4e-07","4e-04"
"Apoptosis","CNA_BCL2L11","mRNA_BCL2L11","Drug_erlotinib","4.688e-05","0.0051","4.668e-05","0.0035","2e-07","0.0019"
"Apoptosis","CNA_BCL2L11","mRNA_CASP7","Drug_erlotinib","-6.482e-05","0.0146","-4.695e-05","0.0044","-1.788e-05","0.0103"
"Apoptosis","CNA_BCL2L11","mRNA_BCL2L1","Drug_erlotinib","3.552e-05","0.0031","3.337e-05","0.0027","2.15e-06","4e-04"
"Apoptosis","CNA_BCL2L11","mRNA_BCL2","Drug_erlotinib","3.833e-05","0.0149","1.57e-05","0.0072","2.263e-05","0.0087"
"Apoptosis","CNA_BCL2L11","Protein_BAD","Drug_erlotinib","6.998e-05","0.008","7.509e-05","0.005","-5.11e-06","0.0034"
"Apoptosis","CNA_BCL2L11","Protein_BAK1","Drug_erlotinib","3.43e-06","0.0056","4.72e-06","0.0046","-1.29e-06","0.0012"
"Apoptosis","CNA_BCL2L11","Protein_BAX","Drug_erlotinib","-4.74e-06","0.002","-4.52e-06","0.0011","-2.2e-07","0.001"
"Apoptosis","CNA_BCL2L11","Protein_BCL2","Drug_erlotinib","4.15e-06","0.0014","2e-08","5e-04","4.13e-06","9e-04"
"Apoptosis","CNA_BCL2L11","Protein_BCL2L1","Drug_erlotinib","-1.34e-05","0.0064","-5.19e-06","0.0038","-8.21e-06","0.003"
"Apoptosis","CNA_BCL2L11","Protein_BID","Drug_erlotinib","-2.65e-06","0.0276","-5.571e-05","0.0036","5.306e-05","0.0246"
"Apoptosis","CNA_BCL2L11","Protein_BCL2L11","Drug_erlotinib","5.33e-06","0.0054","2.9e-07","0.0031","5.04e-06","0.0028"
"Apoptosis","CNA_BCL2L11","Protein_CASP7","Drug_erlotinib","2.379e-05","0.005","1.366e-05","0.002","1.013e-05","0.0031"
"Apoptosis","CNA_BCL2L11","Protein_BIRC2","Drug_erlotinib","6.78e-06","0.0044","4.13e-06","0.0014","2.66e-06","0.0031"
"Apoptosis","CNA_BCL2L1","mRNA_BAD","Drug_erlotinib","-1.09e-06","0.0084","3.75e-06","0.0016","-4.84e-06","0.0072"
"Apoptosis","CNA_BCL2L1","mRNA_BID","Drug_erlotinib","1.314e-05","0.002","1.328e-05","0.0019","-1.4e-07","3e-04"
"Apoptosis","CNA_BCL2L1","mRNA_BAK1","Drug_erlotinib","7.72e-06","0.0037","6.15e-06","0.002","1.57e-06","0.002"
"Apoptosis","CNA_BCL2L1","mRNA_BAX","Drug_erlotinib","1.152e-05","0.0082","3.98e-06","8e-04","7.55e-06","0.0076"
"Apoptosis","CNA_BCL2L1","mRNA_BIRC2","Drug_erlotinib","6.38e-06","0.0021","7.09e-06","8e-04","-7e-07","0.0014"
"Apoptosis","CNA_BCL2L1","mRNA_BCL2L11","Drug_erlotinib","1.422e-05","0.0024","1.245e-05","0.0012","1.77e-06","0.0012"
"Apoptosis","CNA_BCL2L1","mRNA_CASP7","Drug_erlotinib","1.796e-05","0.007","2.745e-05","0.0038","-9.49e-06","0.0032"
"Apoptosis","CNA_BCL2L1","mRNA_BCL2L1","Drug_erlotinib","-0.00076","0.0337","-0.00075379","0.0333","-6.2e-06","9e-04"
"Apoptosis","CNA_BCL2L1","mRNA_BCL2","Drug_erlotinib","-2.784e-05","0.0044","-1.186e-05","0.0016","-1.598e-05","0.003"
"Apoptosis","CNA_BCL2L1","Protein_BAD","Drug_erlotinib","-9.96e-05","0.0205","-8.805e-05","0.0043","-1.155e-05","0.0173"
"Apoptosis","CNA_BCL2L1","Protein_BAK1","Drug_erlotinib","3.785e-05","0.0094","5.031e-05","0.0057","-1.246e-05","0.0045"
"Apoptosis","CNA_BCL2L1","Protein_BAX","Drug_erlotinib","1.121e-05","0.0058","-2.45e-06","0.0028","1.366e-05","0.0034"
"Apoptosis","CNA_BCL2L1","Protein_BCL2","Drug_erlotinib","-6.25e-06","0.0092","-4.92e-06","0.0014","-1.33e-06","0.0079"
"Apoptosis","CNA_BCL2L1","Protein_BCL2L1","Drug_erlotinib","1.908e-05","0.0208","9.2e-07","0.0197","1.816e-05","0.0022"
"Apoptosis","CNA_BCL2L1","Protein_BID","Drug_erlotinib","0.00063934","0.0808","0.00017895","0.0059","0.00046039","0.0772"
"Apoptosis","CNA_BCL2L1","Protein_BCL2L11","Drug_erlotinib","6.49e-06","0.0064","5.74e-06","0.0016","7.5e-07","0.0048"
"Apoptosis","CNA_BCL2L1","Protein_CASP7","Drug_erlotinib","1.371e-05","0.0059","3.04e-06","0.0011","1.067e-05","0.0048"
"Apoptosis","CNA_BCL2L1","Protein_BIRC2","Drug_erlotinib","-9.6e-06","0.0112","-5.75e-06","0.0024","-3.85e-06","0.009"
"Apoptosis","CNA_BID","mRNA_BAD","Drug_erlotinib","-6.88e-06","0.0116","-3.31e-05","0.0014","2.623e-05","0.0108"
"Apoptosis","CNA_BID","mRNA_BID","Drug_erlotinib","-0.00118078","0.0432","-0.00116838","0.0429","-1.24e-05","0.0031"
"Apoptosis","CNA_BID","mRNA_BAK1","Drug_erlotinib","7.29e-06","0.004","7.37e-06","4e-04","-8e-08","0.0036"
"Apoptosis","CNA_BID","mRNA_BAX","Drug_erlotinib","4.551e-05","0.0147","3.173e-05","0.0127","1.378e-05","0.0031"
"Apoptosis","CNA_BID","mRNA_BIRC2","Drug_erlotinib","-6.33e-06","0.002","-6.37e-06","0.0016","4e-08","4e-04"
"Apoptosis","CNA_BID","mRNA_BCL2L11","Drug_erlotinib","1.892e-05","0.0034","3.23e-06","9e-04","1.568e-05","0.0026"
"Apoptosis","CNA_BID","mRNA_CASP7","Drug_erlotinib","-3.068e-05","0.0106","-3.139e-05","0.0028","7.1e-07","0.0081"
"Apoptosis","CNA_BID","mRNA_BCL2L1","Drug_erlotinib","-1.565e-05","0.0061","-1.33e-06","3e-04","-1.432e-05","0.0058"
"Apoptosis","CNA_BID","mRNA_BCL2","Drug_erlotinib","-1.898e-05","0.0048","-9.67e-06","0.0017","-9.31e-06","0.0033"
"Apoptosis","CNA_BID","Protein_BAD","Drug_erlotinib","5.839e-05","0.008","4.038e-05","0.0028","1.8e-05","0.0059"
"Apoptosis","CNA_BID","Protein_BAK1","Drug_erlotinib","2.64e-06","0.0037","2.46e-06","0.0016","1.8e-07","0.0026"
"Apoptosis","CNA_BID","Protein_BAX","Drug_erlotinib","-8.65e-06","0.0035","-1.87e-06","0.0014","-6.78e-06","0.0023"
"Apoptosis","CNA_BID","Protein_BCL2","Drug_erlotinib","-1.097e-05","0.0051","-1.513e-05","0.0025","4.16e-06","0.0029"
"Apoptosis","CNA_BID","Protein_BCL2L1","Drug_erlotinib","-5.34e-06","0.0049","-8.81e-06","9e-04","3.47e-06","0.0042"
"Apoptosis","CNA_BID","Protein_BID","Drug_erlotinib","-7.669e-05","0.0256","-6.69e-05","0.0073","-9.79e-06","0.0197"
"Apoptosis","CNA_BID","Protein_BCL2L11","Drug_erlotinib","5.15e-06","0.0069","1.372e-05","0.002","-8.57e-06","0.0051"
"Apoptosis","CNA_BID","Protein_CASP7","Drug_erlotinib","-0.00022435","0.0184","-0.00022121","0.0172","-3.14e-06","0.0018"
"Apoptosis","CNA_BID","Protein_BIRC2","Drug_erlotinib","-5.24e-06","0.0033","-3.62e-06","0.002","-1.61e-06","0.0013"
"Apoptosis","CNA_BAK1","mRNA_BAD","Drug_erlotinib","-0.0003362","0.0495","-1.166e-05","0.0028","-0.00032454","0.0493"
"Apoptosis","CNA_BAK1","mRNA_BID","Drug_erlotinib","1.958e-05","0.0032","2.401e-05","0.0024","-4.43e-06","8e-04"
"Apoptosis","CNA_BAK1","mRNA_BAK1","Drug_erlotinib","-0.00036171","0.0331","-0.00035569","0.0331","-6.02e-06","0.0026"
"Apoptosis","CNA_BAK1","mRNA_BAX","Drug_erlotinib","-2.88e-06","0.0019","-1.67e-06","6e-04","-1.21e-06","0.0013"
"Apoptosis","CNA_BAK1","mRNA_BIRC2","Drug_erlotinib","4.869e-05","0.0098","4.865e-05","0.0097","4e-08","1e-04"
"Apoptosis","CNA_BAK1","mRNA_BCL2L11","Drug_erlotinib","-2.502e-05","0.0048","-1.476e-05","0.0033","-1.025e-05","0.0016"
"Apoptosis","CNA_BAK1","mRNA_CASP7","Drug_erlotinib","0.0008328","0.0828","0.00012839","0.0046","0.00070441","0.0811"
"Apoptosis","CNA_BAK1","mRNA_BCL2L1","Drug_erlotinib","1.704e-05","0.0044","1.014e-05","9e-04","6.9e-06","0.0035"
"Apoptosis","CNA_BAK1","mRNA_BCL2","Drug_erlotinib","7.196e-05","0.0089","3.944e-05","0.0021","3.253e-05","0.007"
"Apoptosis","CNA_BAK1","Protein_BAD","Drug_erlotinib","9.797e-05","0.0093","7.296e-05","0.0042","2.5e-05","0.0055"
"Apoptosis","CNA_BAK1","Protein_BAK1","Drug_erlotinib","3.25e-06","0.0026","4.53e-06","8e-04","-1.28e-06","0.0019"
"Apoptosis","CNA_BAK1","Protein_BAX","Drug_erlotinib","-1.865e-05","0.0049","-6.44e-06","0.0013","-1.221e-05","0.0037"
"Apoptosis","CNA_BAK1","Protein_BCL2","Drug_erlotinib","0.00016422","0.0181","0.00015997","0.0168","4.25e-06","0.0018"
"Apoptosis","CNA_BAK1","Protein_BCL2L1","Drug_erlotinib","-1.706e-05","0.0056","-4.11e-06","0.0021","-1.294e-05","0.0037"
"Apoptosis","CNA_BAK1","Protein_BID","Drug_erlotinib","2.135e-05","0.0215","1.231e-05","0.005","9.04e-06","0.0168"
"Apoptosis","CNA_BAK1","Protein_BCL2L11","Drug_erlotinib","-1.79e-06","0.0123","-1.138e-05","0.0033","9.59e-06","0.0092"
"Apoptosis","CNA_BAK1","Protein_CASP7","Drug_erlotinib","1.3e-05","0.006","5.97e-06","0.003","7.03e-06","0.0031"
"Apoptosis","CNA_BAK1","Protein_BIRC2","Drug_erlotinib","-8.08e-06","0.0026","-1.005e-05","0.0019","1.97e-06","8e-04"
"Apoptosis","mRNA_BAD","Protein_BAD","Drug_erlotinib","0.00202579","0.06","0.00189678","0.0521","0.00012901","0.012"
"Apoptosis","mRNA_BAD","Protein_BAK1","Drug_erlotinib","-5.8e-07","0.0066","-5.05e-06","0.0014","4.47e-06","0.0052"
"Apoptosis","mRNA_BAD","Protein_BAX","Drug_erlotinib","-0.00035941","0.0278","-7.003e-05","0.0037","-0.00028938","0.025"
"Apoptosis","mRNA_BAD","Protein_BCL2","Drug_erlotinib","-9.7e-06","0.0064","-2.93e-06","0.0013","-6.77e-06","0.0054"
"Apoptosis","mRNA_BAD","Protein_BCL2L1","Drug_erlotinib","-2.5e-07","0.0045","-2.47e-06","0.0013","2.22e-06","0.0032"
"Apoptosis","mRNA_BAD","Protein_BID","Drug_erlotinib","-7.543e-05","0.0482","-2.796e-05","0.0042","-4.748e-05","0.0453"
"Apoptosis","mRNA_BAD","Protein_BCL2L11","Drug_erlotinib","1.235e-05","0.0175","-2.96e-06","6e-04","1.531e-05","0.0169"
"Apoptosis","mRNA_BAD","Protein_CASP7","Drug_erlotinib","0.00064947","0.0344","0.00064499","0.0323","4.47e-06","0.004"
"Apoptosis","mRNA_BAD","Protein_BIRC2","Drug_erlotinib","-2.591e-05","0.0038","-2.292e-05","0.0016","-2.99e-06","0.0022"
"Apoptosis","mRNA_BID","Protein_BAD","Drug_erlotinib","3.767e-05","0.0052","3.457e-05","0.0037","3.1e-06","0.0016"
"Apoptosis","mRNA_BID","Protein_BAK1","Drug_erlotinib","3.34e-06","0.004","4.22e-06","0.0019","-8.8e-07","0.0021"
"Apoptosis","mRNA_BID","Protein_BAX","Drug_erlotinib","-5.95e-06","0.0035","-3.05e-06","0.0011","-2.89e-06","0.0024"
"Apoptosis","mRNA_BID","Protein_BCL2","Drug_erlotinib","-1.352e-05","0.0038","-1.531e-05","0.0028","1.8e-06","0.0011"
"Apoptosis","mRNA_BID","Protein_BCL2L1","Drug_erlotinib","-4.22e-06","0.004","-1.053e-05","6e-04","6.31e-06","0.0035"
"Apoptosis","mRNA_BID","Protein_BID","Drug_erlotinib","-1.522e-05","0.0196","2.374e-05","0.0046","-3.896e-05","0.0156"
"Apoptosis","mRNA_BID","Protein_BCL2L11","Drug_erlotinib","1.101e-05","0.0039","3.926e-05","0.0021","-2.825e-05","0.0025"
"Apoptosis","mRNA_BID","Protein_CASP7","Drug_erlotinib","-2.519e-05","0.006","-1.942e-05","0.0037","-5.77e-06","0.0025"
"Apoptosis","mRNA_BID","Protein_BIRC2","Drug_erlotinib","-3.07e-06","0.0035","-2.55e-06","0.0021","-5.1e-07","0.0016"
"Apoptosis","mRNA_BAK1","Protein_BAD","Drug_erlotinib","1.937e-05","0.0073","1.304e-05","0.0015","6.33e-06","0.0058"
"Apoptosis","mRNA_BAK1","Protein_BAK1","Drug_erlotinib","5.51e-06","0.0027","6.63e-06","0.0016","-1.13e-06","0.0015"
"Apoptosis","mRNA_BAK1","Protein_BAX","Drug_erlotinib","-2.21e-05","0.0036","-2.046e-05","0.0019","-1.64e-06","0.0017"
"Apoptosis","mRNA_BAK1","Protein_BCL2","Drug_erlotinib","-2.169e-05","0.0045","-2.498e-05","0.0032","3.28e-06","0.0019"
"Apoptosis","mRNA_BAK1","Protein_BCL2L1","Drug_erlotinib","-4.46e-06","0.0068","-9.05e-06","0.0026","4.58e-06","0.0044"
"Apoptosis","mRNA_BAK1","Protein_BID","Drug_erlotinib","-9.817e-05","0.0211","-6.926e-05","0.0086","-2.891e-05","0.0155"
