"Drug","Pathway","Start","End","Type","Strength"
"erlotinib","Apoptosis","CNA_BIRC2","mRNA_BCL2L1","dir",0.0366
"erlotinib","Apoptosis","CNA_BIRC2","mRNA_BCL2","dir",0.0224
"erlotinib","Apoptosis","CNA_BIRC2","RPPA_BAD","dir",0.0337
"erlotinib","Apoptosis","CNA_BIRC2","RPPA_BAK1","dir",0.0549
"erlotinib","Apoptosis","CNA_BIRC2","RPPA_BAX","dir",0.0656
"erlotinib","Apoptosis","CNA_BIRC2","RPPA_BCL2","dir",0.0484
"erlotinib","Apoptosis","CNA_BIRC2","RPPA_BCL2L1","dir",0.0295
"erlotinib","Apoptosis","CNA_BIRC2","RPPA_BID","dir",0.0448
"erlotinib","Apoptosis","CNA_BIRC2","RPPA_BCL2L11","dir",0.0246
"erlotinib","Apoptosis","CNA_BIRC2","RPPA_CASP7","dir",0.0568
"erlotinib","Apoptosis","CNA_BIRC2","RPPA_BIRC2","dir",0.0446
"erlotinib","Apoptosis","CNA_BCL2","mRNA_BAD","dir",0.0455
"erlotinib","Apoptosis","CNA_BCL2","mRNA_BID","dir",0.028
"erlotinib","Apoptosis","CNA_BCL2","mRNA_BAK1","dir",0.0407
"erlotinib","Apoptosis","CNA_BCL2","mRNA_BAX","dir",0.0439
"erlotinib","Apoptosis","CNA_BCL2","mRNA_BIRC2","dir",0.0247
"erlotinib","Apoptosis","CNA_BCL2","mRNA_BCL2L11","dir",0.0744
"erlotinib","Apoptosis","CNA_BCL2","mRNA_CASP7","dir",0.0273
"erlotinib","Apoptosis","CNA_BCL2","mRNA_BCL2L1","dir",0.0455
"erlotinib","Apoptosis","CNA_BCL2","mRNA_BCL2","dir",0.9511
"erlotinib","Apoptosis","CNA_BCL2","RPPA_BAD","dir",0.0381
"erlotinib","Apoptosis","CNA_BCL2","RPPA_BAK1","dir",0.1098
"erlotinib","Apoptosis","CNA_BCL2","RPPA_BAX","dir",0.0376
"erlotinib","Apoptosis","CNA_BCL2","RPPA_BCL2","dir",0.054
"erlotinib","Apoptosis","CNA_BCL2","RPPA_BCL2L1","dir",0.0448
"erlotinib","Apoptosis","CNA_BCL2","RPPA_BID","dir",0.0481
"erlotinib","Apoptosis","CNA_BCL2","RPPA_BCL2L11","dir",0.0346
"erlotinib","Apoptosis","CNA_BCL2","RPPA_CASP7","dir",0.0608
"erlotinib","Apoptosis","CNA_BCL2","RPPA_BIRC2","dir",0.0336
"erlotinib","Apoptosis","CNA_BAX","mRNA_BAD","dir",0.0404
"erlotinib","Apoptosis","CNA_BAX","mRNA_BID","dir",0.164
"erlotinib","Apoptosis","CNA_BAX","mRNA_BAK1","dir",0.0317
"erlotinib","Apoptosis","CNA_BAX","mRNA_BAX","dir",0.944
"erlotinib","Apoptosis","CNA_BAX","mRNA_BIRC2","dir",0.0519
"erlotinib","Apoptosis","CNA_BAX","mRNA_BCL2L11","dir",0.037
"erlotinib","Apoptosis","CNA_BAX","mRNA_CASP7","dir",0.0956
"erlotinib","Apoptosis","CNA_BAX","mRNA_BCL2L1","dir",0.0286
"erlotinib","Apoptosis","CNA_BAX","mRNA_BCL2","dir",0.0229
"erlotinib","Apoptosis","CNA_BAX","RPPA_BAD","dir",0.0476
"erlotinib","Apoptosis","CNA_BAX","RPPA_BAK1","dir",0.0548
"erlotinib","Apoptosis","CNA_BAX","RPPA_BAX","dir",0.586
"erlotinib","Apoptosis","CNA_BAX","RPPA_BCL2","dir",0.0379
"erlotinib","Apoptosis","CNA_BAX","RPPA_BCL2L1","dir",0.0491
"erlotinib","Apoptosis","CNA_BAX","RPPA_BID","dir",0.0566
"erlotinib","Apoptosis","CNA_BAX","RPPA_BCL2L11","dir",0.0255
"erlotinib","Apoptosis","CNA_BAX","RPPA_CASP7","dir",0.0389
"erlotinib","Apoptosis","CNA_BAX","RPPA_BIRC2","dir",0.0314
"erlotinib","Apoptosis","CNA_BCL2L11","mRNA_BAD","dir",0.0446
"erlotinib","Apoptosis","CNA_BCL2L11","mRNA_BID","dir",0.028
"erlotinib","Apoptosis","CNA_BCL2L11","mRNA_BAK1","dir",0.1308
"erlotinib","Apoptosis","CNA_BCL2L11","mRNA_BAX","dir",0.0364
"erlotinib","Apoptosis","CNA_BCL2L11","mRNA_BIRC2","dir",0.0209
"erlotinib","Apoptosis","CNA_BCL2L11","mRNA_BCL2L11","dir",0.1275
"erlotinib","Apoptosis","CNA_BCL2L11","mRNA_CASP7","dir",0.0482
"erlotinib","Apoptosis","CNA_BCL2L11","mRNA_BCL2L1","dir",0.0588
"erlotinib","Apoptosis","CNA_BCL2L11","mRNA_BCL2","dir",0.0721
"erlotinib","Apoptosis","CNA_BCL2L11","RPPA_BAD","dir",0.0282
"erlotinib","Apoptosis","CNA_BCL2L11","RPPA_BAK1","dir",0.1444
"erlotinib","Apoptosis","CNA_BCL2L11","RPPA_BAX","dir",0.0312
"erlotinib","Apoptosis","CNA_BCL2L11","RPPA_BCL2","dir",0.0466
"erlotinib","Apoptosis","CNA_BCL2L11","RPPA_BCL2L1","dir",0.0434
"erlotinib","Apoptosis","CNA_BCL2L11","RPPA_BID","dir",0.0369
"erlotinib","Apoptosis","CNA_BCL2L11","RPPA_BCL2L11","dir",0.0379
"erlotinib","Apoptosis","CNA_BCL2L11","RPPA_CASP7","dir",0.0554
"erlotinib","Apoptosis","CNA_BCL2L11","RPPA_BIRC2","dir",0.0267
"erlotinib","Apoptosis","CNA_BCL2L1","mRNA_BAD","dir",0.0281
"erlotinib","Apoptosis","CNA_BCL2L1","mRNA_BID","dir",0.0227
"erlotinib","Apoptosis","CNA_BCL2L1","mRNA_BAK1","dir",0.0417
"erlotinib","Apoptosis","CNA_BCL2L1","mRNA_BAX","dir",0.0361
"erlotinib","Apoptosis","CNA_BCL2L1","mRNA_BIRC2","dir",0.0211
"erlotinib","Apoptosis","CNA_BCL2L1","mRNA_BCL2L11","dir",0.0491
"erlotinib","Apoptosis","CNA_BCL2L1","mRNA_CASP7","dir",0.0332
"erlotinib","Apoptosis","CNA_BCL2L1","mRNA_BCL2L1","dir",0.7686
"erlotinib","Apoptosis","CNA_BCL2L1","mRNA_BCL2","dir",0.0311
"erlotinib","Apoptosis","CNA_BCL2L1","RPPA_BAD","dir",0.039
"erlotinib","Apoptosis","CNA_BCL2L1","RPPA_BAK1","dir",0.201
"erlotinib","Apoptosis","CNA_BCL2L1","RPPA_BAX","dir",0.071
"erlotinib","Apoptosis","CNA_BCL2L1","RPPA_BCL2","dir",0.0359
"erlotinib","Apoptosis","CNA_BCL2L1","RPPA_BCL2L1","dir",0.5908
"erlotinib","Apoptosis","CNA_BCL2L1","RPPA_BID","dir",0.07
"erlotinib","Apoptosis","CNA_BCL2L1","RPPA_BCL2L11","dir",0.0507
"erlotinib","Apoptosis","CNA_BCL2L1","RPPA_CASP7","dir",0.0379
"erlotinib","Apoptosis","CNA_BCL2L1","RPPA_BIRC2","dir",0.0605
"erlotinib","Apoptosis","CNA_BID","mRNA_BAD","dir",0.0324
"erlotinib","Apoptosis","CNA_BID","mRNA_BID","dir",0.9607
"erlotinib","Apoptosis","CNA_BID","mRNA_BAK1","dir",0.0452
"erlotinib","Apoptosis","CNA_BID","mRNA_BAX","dir",0.4634
"erlotinib","Apoptosis","CNA_BID","mRNA_BIRC2","dir",0.0299
"erlotinib","Apoptosis","CNA_BID","mRNA_BCL2L11","dir",0.0579
"erlotinib","Apoptosis","CNA_BID","mRNA_CASP7","dir",0.0376
"erlotinib","Apoptosis","CNA_BID","mRNA_BCL2L1","dir",0.0385
"erlotinib","Apoptosis","CNA_BID","mRNA_BCL2","dir",0.0322
"erlotinib","Apoptosis","CNA_BID","RPPA_BAD","dir",0.0411
"erlotinib","Apoptosis","CNA_BID","RPPA_BAK1","dir",0.0481
"erlotinib","Apoptosis","CNA_BID","RPPA_BAX","dir",0.0388
"erlotinib","Apoptosis","CNA_BID","RPPA_BCL2","dir",0.0333
"erlotinib","Apoptosis","CNA_BID","RPPA_BCL2L1","dir",0.0396
"erlotinib","Apoptosis","CNA_BID","RPPA_BID","dir",0.0479
"erlotinib","Apoptosis","CNA_BID","RPPA_BCL2L11","dir",0.0291
"erlotinib","Apoptosis","CNA_BID","RPPA_CASP7","dir",0.238
"erlotinib","Apoptosis","CNA_BID","RPPA_BIRC2","dir",0.0295
"erlotinib","Apoptosis","CNA_BAK1","mRNA_BAD","dir",0.0542
"erlotinib","Apoptosis","CNA_BAK1","mRNA_BID","dir",0.0302
"erlotinib","Apoptosis","CNA_BAK1","mRNA_BAK1","dir",0.9417
"erlotinib","Apoptosis","CNA_BAK1","mRNA_BAX","dir",0.0303
"erlotinib","Apoptosis","CNA_BAK1","mRNA_BIRC2","dir",0.2411
"erlotinib","Apoptosis","CNA_BAK1","mRNA_BCL2L11","dir",0.1214
"erlotinib","Apoptosis","CNA_BAK1","mRNA_CASP7","dir",0.0554
"erlotinib","Apoptosis","CNA_BAK1","mRNA_BCL2L1","dir",0.0317
"erlotinib","Apoptosis","CNA_BAK1","mRNA_BCL2","dir",0.0264
"erlotinib","Apoptosis","CNA_BAK1","RPPA_BAD","dir",0.0633
"erlotinib","Apoptosis","CNA_BAK1","RPPA_BAK1","dir",0.0295
"erlotinib","Apoptosis","CNA_BAK1","RPPA_BAX","dir",0.0386
"erlotinib","Apoptosis","CNA_BAK1","RPPA_BCL2","dir",0.3533
"erlotinib","Apoptosis","CNA_BAK1","RPPA_BCL2L1","dir",0.0444
"erlotinib","Apoptosis","CNA_BAK1","RPPA_BID","dir",0.046
"erlotinib","Apoptosis","CNA_BAK1","RPPA_BCL2L11","dir",0.0572
"erlotinib","Apoptosis","CNA_BAK1","RPPA_CASP7","dir",0.0658
"erlotinib","Apoptosis","CNA_BAK1","RPPA_BIRC2","dir",0.0256
"erlotinib","Apoptosis","mRNA_BAD","RPPA_BAD","dir",0.541
"erlotinib","Apoptosis","mRNA_BAD","RPPA_BAK1","dir",0.0634
"erlotinib","Apoptosis","mRNA_BAD","RPPA_BAX","dir",0.0815
"erlotinib","Apoptosis","mRNA_BAD","RPPA_BCL2","dir",0.0365
"erlotinib","Apoptosis","mRNA_BAD","RPPA_BCL2L1","dir",0.0397
"erlotinib","Apoptosis","mRNA_BAD","RPPA_BID","dir",0.0435
"erlotinib","Apoptosis","mRNA_BAD","RPPA_BCL2L11","dir",0.0442
"erlotinib","Apoptosis","mRNA_BAD","RPPA_CASP7","dir",0.6471
"erlotinib","Apoptosis","mRNA_BAD","RPPA_BIRC2","dir",0.0465
"erlotinib","Apoptosis","mRNA_BID","RPPA_BAD","dir",0.033
"erlotinib","Apoptosis","mRNA_BID","RPPA_BAK1","dir",0.0532
"erlotinib","Apoptosis","mRNA_BID","RPPA_BAX","dir",0.0508
"erlotinib","Apoptosis","mRNA_BID","RPPA_BCL2","dir",0.0424
"erlotinib","Apoptosis","mRNA_BID","RPPA_BCL2L1","dir",0.0414
"erlotinib","Apoptosis","mRNA_BID","RPPA_BID","dir",0.0593
"erlotinib","Apoptosis","mRNA_BID","RPPA_BCL2L11","dir",0.027
"erlotinib","Apoptosis","mRNA_BID","RPPA_CASP7","dir",0.0542
"erlotinib","Apoptosis","mRNA_BID","RPPA_BIRC2","dir",0.0584
"erlotinib","Apoptosis","mRNA_BAK1","RPPA_BAD","dir",0.0359
"erlotinib","Apoptosis","mRNA_BAK1","RPPA_BAK1","dir",0.036
"erlotinib","Apoptosis","mRNA_BAK1","RPPA_BAX","dir",0.0417
"erlotinib","Apoptosis","mRNA_BAK1","RPPA_BCL2","dir",0.0658
"erlotinib","Apoptosis","mRNA_BAK1","RPPA_BCL2L1","dir",0.0624
"erlotinib","Apoptosis","mRNA_BAK1","RPPA_BID","dir",0.0452
"erlotinib","Apoptosis","mRNA_BAK1","RPPA_BCL2L11","dir",0.0325
"erlotinib","Apoptosis","mRNA_BAK1","RPPA_CASP7","dir",0.056
"erlotinib","Apoptosis","mRNA_BAK1","RPPA_BIRC2","dir",0.0339
"erlotinib","Apoptosis","mRNA_BAX","RPPA_BAD","dir",0.0577
"erlotinib","Apoptosis","mRNA_BAX","RPPA_BAK1","dir",0.0444
"erlotinib","Apoptosis","mRNA_BAX","RPPA_BAX","dir",0.8322
"erlotinib","Apoptosis","mRNA_BAX","RPPA_BCL2","dir",0.1372
"erlotinib","Apoptosis","mRNA_BAX","RPPA_BCL2L1","dir",0.0451
"erlotinib","Apoptosis","mRNA_BAX","RPPA_BID","dir",0.1094
"erlotinib","Apoptosis","mRNA_BAX","RPPA_BCL2L11","dir",0.0593
"erlotinib","Apoptosis","mRNA_BAX","RPPA_CASP7","dir",0.1374
"erlotinib","Apoptosis","mRNA_BAX","RPPA_BIRC2","dir",0.0296
"erlotinib","Apoptosis","mRNA_BIRC2","RPPA_BAD","dir",0.039
"erlotinib","Apoptosis","mRNA_BIRC2","RPPA_BAK1","dir",0.0341
"erlotinib","Apoptosis","mRNA_BIRC2","RPPA_BAX","dir",0.0639
"erlotinib","Apoptosis","mRNA_BIRC2","RPPA_BCL2","dir",0.1007
"erlotinib","Apoptosis","mRNA_BIRC2","RPPA_BCL2L1","dir",0.0411
"erlotinib","Apoptosis","mRNA_BIRC2","RPPA_BID","dir",0.0492
"erlotinib","Apoptosis","mRNA_BIRC2","RPPA_BCL2L11","dir",0.0283
"erlotinib","Apoptosis","mRNA_BIRC2","RPPA_CASP7","dir",0.0993
"erlotinib","Apoptosis","mRNA_BIRC2","RPPA_BIRC2","dir",0.9754
"erlotinib","Apoptosis","mRNA_BCL2L11","RPPA_BAD","dir",0.0627
"erlotinib","Apoptosis","mRNA_BCL2L11","RPPA_BAK1","dir",0.0458
"erlotinib","Apoptosis","mRNA_BCL2L11","RPPA_BAX","dir",0.0436
"erlotinib","Apoptosis","mRNA_BCL2L11","RPPA_BCL2","dir",0.073
"erlotinib","Apoptosis","mRNA_BCL2L11","RPPA_BCL2L1","dir",0.1895
"erlotinib","Apoptosis","mRNA_BCL2L11","RPPA_BID","dir",0.4485
"erlotinib","Apoptosis","mRNA_BCL2L11","RPPA_BCL2L11","dir",0.9922
"erlotinib","Apoptosis","mRNA_BCL2L11","RPPA_CASP7","dir",0.0446
"erlotinib","Apoptosis","mRNA_BCL2L11","RPPA_BIRC2","dir",0.0369
"erlotinib","Apoptosis","mRNA_CASP7","RPPA_BAD","dir",0.0303
"erlotinib","Apoptosis","mRNA_CASP7","RPPA_BAK1","dir",0.0809
"erlotinib","Apoptosis","mRNA_CASP7","RPPA_BAX","dir",0.0351
"erlotinib","Apoptosis","mRNA_CASP7","RPPA_BCL2","dir",0.0349
"erlotinib","Apoptosis","mRNA_CASP7","RPPA_BCL2L1","dir",0.1101
"erlotinib","Apoptosis","mRNA_CASP7","RPPA_BID","dir",0.1949
"erlotinib","Apoptosis","mRNA_CASP7","RPPA_BCL2L11","dir",0.0587
"erlotinib","Apoptosis","mRNA_CASP7","RPPA_CASP7","dir",0.8609
"erlotinib","Apoptosis","mRNA_CASP7","RPPA_BIRC2","dir",0.0362
"erlotinib","Apoptosis","mRNA_BCL2L1","RPPA_BAD","dir",0.1742
"erlotinib","Apoptosis","mRNA_BCL2L1","RPPA_BAK1","dir",0.0793
"erlotinib","Apoptosis","mRNA_BCL2L1","RPPA_BAX","dir",0.1491
"erlotinib","Apoptosis","mRNA_BCL2L1","RPPA_BCL2","dir",0.0519
"erlotinib","Apoptosis","mRNA_BCL2L1","RPPA_BCL2L1","dir",0.4082
"erlotinib","Apoptosis","mRNA_BCL2L1","RPPA_BID","dir",0.0739
"erlotinib","Apoptosis","mRNA_BCL2L1","RPPA_BCL2L11","dir",0.0304
"erlotinib","Apoptosis","mRNA_BCL2L1","RPPA_CASP7","dir",0.249
"erlotinib","Apoptosis","mRNA_BCL2L1","RPPA_BIRC2","dir",0.034
"erlotinib","Apoptosis","mRNA_BCL2","RPPA_BAD","dir",0.2531
"erlotinib","Apoptosis","mRNA_BCL2","RPPA_BAK1","dir",0.0429
"erlotinib","Apoptosis","mRNA_BCL2","RPPA_BAX","dir",0.0661
"erlotinib","Apoptosis","mRNA_BCL2","RPPA_BCL2","dir",0.9865
"erlotinib","Apoptosis","mRNA_BCL2","RPPA_BCL2L1","dir",0.0498
"erlotinib","Apoptosis","mRNA_BCL2","RPPA_BID","dir",0.338
